"","Clade","ERR1971003","ERR1971004","ERR1971005","ERR1971006","ERR1971007","ERR1971008","ERR1971009","ERR1971010","ERR1971011","ERR1971012","ERR1971013","ERR1971014","ERR1971015","ERR1971016","ERR1971017","ERR1971018","ERR1971019","ERR1971020","ERR1971021","ERR1971022","ERR1971023","ERR1971024","ERR1971025","ERR1971026","ERR1971027","ERR1971028","ERR1971029","ERR1971030","ERR1971031"
"1","k__Archaea",0.00101,0.00036,0.00018,0,0,0.09906,0.10171,0,0.00089,0.10145,0.00026,0.00012,0,0,1e-04,0,0.09352,0.07696,0.00011,0,0,0,0.00034,9e-05,0.00023,0.61596,0.15916,0,0
"2","k__Archaea|p__Euryarchaeota",0.00101,0.00036,0.00018,0,0,0.09906,0.10171,0,0.00089,0.10145,0.00026,0.00012,0,0,1e-04,0,0.09352,0.07696,0.00011,0,0,0,0.00034,9e-05,0.00023,0.61596,0.15916,0,0
"3","k__Archaea|p__Euryarchaeota|c__Methanobacteria",0.00101,0.00036,0.00018,0,0,0.09906,0.10171,0,0.00089,0.10145,0.00026,0.00012,0,0,1e-04,0,0.09352,0.07588,0.00011,0,0,0,0.00034,9e-05,0.00023,0.61596,0.15865,0,0
"4","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales",0.00101,0.00036,0.00018,0,0,0.09906,0.10171,0,0.00089,0.10145,0.00026,0.00012,0,0,1e-04,0,0.09352,0.07588,0.00011,0,0,0,0.00034,9e-05,0.00023,0.61596,0.15865,0,0
"5","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae",0.00101,0.00036,0.00018,0,0,0.09906,0.10171,0,0.00089,0.10145,0.00026,0.00012,0,0,1e-04,0,0.09352,0.07588,0.00011,0,0,0,0.00034,9e-05,0.00023,0.61596,0.15865,0,0
"6","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter",9e-04,0.00036,0.00018,0,0,0.09906,0.09679,0,0.00089,0.10145,0.00026,0.00012,0,0,1e-04,0,0.09352,0.07046,6e-05,0,0,0,0.00034,0,0.00023,0.61596,0.13078,0,0
"7","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_ruminantium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-05,0,0
"8","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_ruminantium|t__GCF_000024185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-05,0,0
"9","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii",9e-04,0.00036,0.00018,0,0,0.08296,0.06846,0,0.00089,0.07706,7e-05,0.00012,0,0,1e-04,0,0.09352,0.07046,6e-05,0,0,0,0,0,0.00023,0.61596,0.13076,0,0
"10","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified",9e-04,0.00036,0.00018,0,0,0.08296,0.06846,0,0.00089,0.07706,7e-05,0.00012,0,0,1e-04,0,0.09352,0.07046,6e-05,0,0,0,0,0,0.00023,0.61596,0.13076,0,0
"11","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified",0,0,0,0,0,0.0161,0.02834,0,0,0.02439,0.00019,0,0,0,0,0,0,0,0,0,0,0,0.00034,0,0,0,0,0,0
"12","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera",0.00011,0,0,0,0,0,0.00492,0,0,0,0,0,0,0,0,0,0,0.00542,5e-05,0,0,0,0,9e-05,0,0,0.02786,0,0
"13","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae",0.00011,0,0,0,0,0,0.00492,0,0,0,0,0,0,0,0,0,0,0.00542,5e-05,0,0,0,0,9e-05,0,0,0.02786,0,0
"14","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae|t__GCF_000012545",0.00011,0,0,0,0,0,0.00492,0,0,0,0,0,0,0,0,0,0,0.00542,5e-05,0,0,0,0,9e-05,0,0,0.02786,0,0
"15","k__Archaea|p__Euryarchaeota|c__Methanococci",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108,0,0,0,0,0,0,0,0,0.00052,0,0
"16","k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108,0,0,0,0,0,0,0,0,0.00052,0,0
"17","k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108,0,0,0,0,0,0,0,0,0.00052,0,0
"18","k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Methanococcaceae_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108,0,0,0,0,0,0,0,0,0.00052,0,0
"19","k__Bacteria",98.74857,93.20626,95.26686,96.44319,95.65208,97.83576,94.46886,95.22902,92.69125,90.76171,78.15614,94.35658,93.10229,91.56872,94.74364,95.64567,94.21297,93.27519,92.85349,84.61814,93.30669,88.0026,87.06286,94.38979,92.66134,91.53924,90.25857,87.89575,85.67455
"20","k__Bacteria|p__Acidobacteria",0.00863,0.02005,0,0,0,0,0,0,0,0.00649,0,0.00538,0.04517,0,0,0,0,0,0,0,0.00186,0.00125,0,0,0,0,0,0,0
"21","k__Bacteria|p__Acidobacteria|c__Acidobacteriia",0.00863,0.02005,0,0,0,0,0,0,0,0.00649,0,0.00538,0.04517,0,0,0,0,0,0,0,0.00186,0.00125,0,0,0,0,0,0,0
"22","k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales",0.00863,0.02005,0,0,0,0,0,0,0,0.00649,0,0.00538,0.04517,0,0,0,0,0,0,0,0.00186,0.00125,0,0,0,0,0,0,0
"23","k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae",0.00863,0.02005,0,0,0,0,0,0,0,0.00649,0,0.00538,0.04517,0,0,0,0,0,0,0,0.00186,0.00125,0,0,0,0,0,0,0
"24","k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified",0.00863,0.02005,0,0,0,0,0,0,0,0.00649,0,0.00538,0.04517,0,0,0,0,0,0,0,0.00186,0.00125,0,0,0,0,0,0,0
"25","k__Bacteria|p__Actinobacteria",9.69777,14.13889,10.1175,14.38139,4.97248,32.30468,1.35978,2.18808,3.03506,8.57897,0.00467,1.21172,1.07058,1.33436,1.49063,0.43179,1.11816,0.20207,0.31944,0.00223,2.37287,0.79366,0.7256,2.88307,1.23339,2.94634,0.33763,0.54635,0.00274
"26","k__Bacteria|p__Actinobacteria|c__Actinobacteria",9.69777,14.13889,10.1175,14.38139,4.97248,32.30468,1.35978,2.18808,3.03506,8.57897,0.00467,1.21172,1.07058,1.33436,1.49063,0.43179,1.11816,0.20207,0.31944,0.00223,2.37287,0.79366,0.7256,2.88307,1.23339,2.94634,0.33763,0.54635,0.00274
"27","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales",0.02902,0.02322,0.0227,0.02307,0.04489,0.03147,0.01684,0.01359,0.01052,0.06332,0,0.00555,0.00756,0.00631,0.00144,0.0136,0.00045,0.00187,0.00177,1e-04,0.01005,0.0019,0.00177,0.00522,0.01113,0.00305,0.00463,0.00321,0.00126
"28","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae",0.01939,0.02099,0.01143,0.01915,0.04262,0.02615,0.01562,0.01195,0.00506,0.04203,0,0.00282,0.00419,0.00171,0.00075,0.01063,0.00045,0.0014,0.00098,0,0.00622,0.00146,0.00096,0.00391,0.00865,0.00214,0.00351,0.00238,0
"29","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces",0.01939,0.02099,0.01143,0.01895,0.0425,0.02582,0.01539,0.01161,0.00506,0.04066,0,0.00277,0.00419,0.00171,0.00075,0.01063,0.00045,0.0014,0.00098,0,0.00622,0.00146,0.00096,0.00365,0.00865,0.00214,0.00342,0.00238,0
"30","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_cardiffensis",0.00095,0,0,0,0,0,0,0,0,0.00107,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0
"31","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_cardiffensis|t__GCF_000364865",0.00095,0,0,0,0,0,0,0,0,0.00107,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0
"32","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_europaeus",0.0011,0,0,0,0.00101,0.00795,0,0,0,0,0,0,0,0,0,7e-05,8e-05,0,0,0,0,0,0,0,0.00012,0.00088,0,0,0
"33","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_europaeus|t__GCF_000411155",0.0011,0,0,0,0.00101,0.00795,0,0,0,0,0,0,0,0,0,7e-05,8e-05,0,0,0,0,0,0,0,0.00012,0.00088,0,0,0
"34","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_georgiae",0,0.00083,0.00057,0.00012,0,0,0,0,0.00015,0,0,0,0,0,0,0.00029,0,0,0,0,0,0,0,0.00017,0,0,0,0,0
"35","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_georgiae|t__GCF_000277685",0,0.00083,0.00057,0.00012,0,0,0,0,0.00015,0,0,0,0,0,0,0.00029,0,0,0,0,0,0,0,0.00017,0,0,0,0,0
"36","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii",0.00534,0.00015,0.00015,0.00132,0.01611,0.00044,0.00392,0.00162,9e-04,0.00048,0,0.0018,0.00088,0.00013,0.00017,0.00895,8e-05,0.00014,0.00059,0,0.00194,0.00028,0.00015,0.00013,0.00299,0,0.00046,0.00057,0
"37","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii|t__Actinomyces_graevenitzii_unclassified",0.00534,0.00015,0.00015,0.00132,0.01611,0.00044,0.00392,0.00162,9e-04,0.00048,0,0.0018,0.00088,0.00013,0.00017,0.00895,8e-05,0.00014,0.00059,0,0.00194,0.00028,0.00015,0.00013,0.00299,0,0.00046,0.00057,0
"38","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii",0.00016,0.00023,0.00117,0.00068,0.00207,0.00361,0,0,0.00013,0.00037,0,8e-05,0,0.00041,0,0,0,0,0,0,0.00021,0,0,0.00021,0.00038,0.00036,0,8e-05,0
