"","Taxon","bacterial cells/ml OD 1","bacterial +endospore cells/ml OD 1","Bacterial OD in sample","bacterial cells in spike in Mix","bacterial +endospore cells in spike in Mix"
"1","Clostridium_perfringens",58857340.0503778,61248816.1209068,1.13729166666667,66937962.361461,69657768.1675063
"2","Clostridium_perfringens",70119852.2895126,72461181.6838996,1.13729166666667,79746723.6767602,82409498.0859183
"3","Prevotella_melaninogenica",80440149.0312966,80442682.5633383,1.1375,91500669.5230999,91503551.4157973
"4","Prevotella_melaninogenica",80194903.1296572,80196423.2488823,1.1375,91221702.3099851,91223431.4456036
"5","Clostridium_difficile",101440108.695652,103675642.29249,0.342708333333333,34764370.5842391,35530506.5773221
"6","Clostridium_difficile",145902605.668821,148170850.323222,0.342708333333333,50002038.8177524,50779385.1628543
"7","Salmonella_enterica",171334757.575758,171334757.575758,0.340208333333333,58289512.3169192,58289512.3169192
"8","Salmonella_enterica",172279422.310757,172279422.310757,0.340208333333333,58610895.1319721,58610895.1319721
"9","Lactobacillus_plantarum",203598820.058997,205588672.566372,0.115,23413864.3067847,23642697.3451327
"10","Lactobacillus_plantarum",188857191.780822,190776927.592955,0.115,21718577.0547945,21939346.6731898
"11","Vibrio_cholerae",90135604.719764,90135604.719764,0.111666666666667,10065142.5270403,10065142.5270403
"12","Clostridium_saccharolyticum",260870870.870871,261031171.171171,0.0346041666666667,9027219.0940941,9032766.1524024
"13","Clostridium_saccharolyticum",271597633.136095,271753047.337278,0.0346041666666667,9398409.76331361,9403787.74223373
"14","Yersinia_pseudotuberculosis",120423310.344828,122295990.147783,0.0341354166666667,4110699.875,4174624.58035714
"15","Yersinia_pseudotuberculosis",111017223.320158,112801719.367589,0.0341354166666667,3789619.17520998,3850533.69132905
"16","Blautia_hansenii",38950996.0159363,40798984.063745,0.0115,447936.454183267,469188.316733068
"17","Blautia_hansenii",41028638.1709742,42801471.1729622,0.0115,471829.338966203,492216.918489066
"18","Fusobacterium_nucleatum",20542820.2581927,20542820.2581927,0.0113541666666667,233246.605014896,233246.605014896
"19","Fusobacterium_nucleatum",15524369.7478992,15524369.7478992,0.0113541666666667,176266.281512605,176266.281512605
